image,caption
3043685748_130db75e3b.jpg#1,A group of men on motorcycles round the corner on a racetrack .
3043685748_130db75e3b.jpg#2,A group of motorcyclists in a race .
3043685748_130db75e3b.jpg#3,A motorcycle race on a racetrack .
3043685748_130db75e3b.jpg#4,Numbered motorcycles round the turn on a racetrack with billboards in the background .
3044536048_e615466e7f.jpg#0,a lone parasurfer surfing a huge wave in the ocean .
3044536048_e615466e7f.jpg#1,A man parasurfs in the ocean
3044536048_e615466e7f.jpg#2,A person in a green jacket it surfing while holding on to a line .
3044536048_e615466e7f.jpg#3,A person in green surfing a wave .
3044536048_e615466e7f.jpg#4,"A person on a surfboard in the waves , holding onto a tether ."
3044746136_8b89da5f40.jpg#0,A class full of students .
3044746136_8b89da5f40.jpg#1,A classroom of students watching a presentation .
3044746136_8b89da5f40.jpg#2,A conference is being held that involves laptops and big screen presentations .
3044746136_8b89da5f40.jpg#3,A group of people are at a conference watching a slideshow .
3044746136_8b89da5f40.jpg#4,A man is giving a presentation in front of a lot of people .
3046190891_05c6ecd9b6.jpg#0,a lone surfer riding a huge wave .
3046190891_05c6ecd9b6.jpg#1,A person riding a surfboard comes up over a large wave .
3046190891_05c6ecd9b6.jpg#2,A surfer flips his board so it is perpendicular to the ocean .
3046190891_05c6ecd9b6.jpg#3,A surfer is performing a jumping stunt in the ocean .
3046190891_05c6ecd9b6.jpg#4,The surfer makes a reentry move on a wave .
3046259614_614394e024.jpg#0,A man dressed in all white is talking to the people seated on the dirt floor .
3046259614_614394e024.jpg#1,A man in a long white robe and white head cap is pointing to a group of people sitting on a blanket .
3046259614_614394e024.jpg#2,A man in a white robe stands and talks to people who are sitting .
3046259614_614394e024.jpg#3,"A man wearing a long white robe and a white cap , stands over a group of seated people ."
3046259614_614394e024.jpg#4,The children are sitting with their shoes off .
3046286572_d2050ab0d9.jpg#0,A bicycler does a trick in the air and his shadow is captured on the ceiling .
3046286572_d2050ab0d9.jpg#1,A boy doing a trick in the air on his bicycle
3046286572_d2050ab0d9.jpg#2,A man in a brown shirt and jeans is doing a trick on his bicycle .
3046286572_d2050ab0d9.jpg#3,A man performing a bicycle trick inside in midair .
3046286572_d2050ab0d9.jpg#4,The man is doing a trick on a bike in midair .
3046430047_d7b10123d0.jpg#0,A man and two woman dressed like vampires complete with scary makeup .
3046430047_d7b10123d0.jpg#1,A man and two women dressed in costumes .
3046430047_d7b10123d0.jpg#2,One man and two women dressed in vampire costumes
3046430047_d7b10123d0.jpg#3,Some party goers pose in their costumes at a halloween party .
3046430047_d7b10123d0.jpg#4,Three people wearing dark costumes and make-up pose for a picture .
3046916429_8e2570b613.jpg#0,A woman holding a baby and making faces at it .
3046916429_8e2570b613.jpg#1,A woman holding a baby up and making a funny face
3046916429_8e2570b613.jpg#2,A woman makes faces at a small child .
3046916429_8e2570b613.jpg#3,The man wearing glasses holds a baby wearing blue .
3046916429_8e2570b613.jpg#4,the woman is making faces at the baby that she is holding .
3047144646_2252ff8e04.jpg#0,A group of people display ribbons won by their dogs .
3047144646_2252ff8e04.jpg#1,A group of people pose in a grassy field with their dogs .
3047144646_2252ff8e04.jpg#2,Five people are standing with three dogs in the green field beside the road .
3047144646_2252ff8e04.jpg#3,Five people stand in the grass with three dogs .
3047144646_2252ff8e04.jpg#4,Five women and three dogs posing for a picture .
3047751696_78c2efe5e6.jpg#0,A lady holds a baby and they both are looking at one another .
3047751696_78c2efe5e6.jpg#1,A lady with glasses holds a baby who is looking up at her .
3047751696_78c2efe5e6.jpg#2,A woman holds a baby in a blue jumper .
3047751696_78c2efe5e6.jpg#3,A woman holds a toddler .
3047751696_78c2efe5e6.jpg#4,A woman wearing a gray t-shirt holds a child wearing a black shirt under a light blue smock .
3048211972_db71d104c2.jpg#0,A brown and white dog walking on concrete debris with a gravel pile in the background .
3048211972_db71d104c2.jpg#1,A brown dog is making its way through a pile of junk .
3048211972_db71d104c2.jpg#2,A dog is in a landfill .
3048211972_db71d104c2.jpg#3,A dog stands on a cement platform looking down at rubble .
3048211972_db71d104c2.jpg#4,A tan dog is climbing down a pile of concrete rubble .
3048380686_732db55281.jpg#0,A goalie blocking the goal with assistance from a teammate during a hockey game .
3048380686_732db55281.jpg#1,A hockey player tries to make a goal while the goalie and another player look on .
3048380686_732db55281.jpg#2,A hockey play shooting for a goal in a professional game .
3048380686_732db55281.jpg#3,Hockey players scramble in front of the goal .
3048380686_732db55281.jpg#4,The goalie with the white jersey allowed a goal by the player on the red team .
3048821353_83d4c0cbb9.jpg#0,A man helps another man do a back flip in a yard .
3048821353_83d4c0cbb9.jpg#1,A man in a green shirt attempts a back flip with the help of his friend .
3048821353_83d4c0cbb9.jpg#2,A man in a green shirt begins to jump over backwards as another helps him .
3048821353_83d4c0cbb9.jpg#3,One man helps another man start a back flip
3048821353_83d4c0cbb9.jpg#4,One man is helping another man with red shorts do a back flip in the yard .
3049770416_0fb1954315.jpg#0,"A man holds a microphone to his mouth , backlit by green lights ."
3049770416_0fb1954315.jpg#1,A man in a shirt sings into a microphone onstage
3049770416_0fb1954315.jpg#2,A man sings into a microphone in front of a green light .
3049770416_0fb1954315.jpg#3,A man with a microphone .
3049770416_0fb1954315.jpg#4,A signer standing in green light .
3050606344_af711c726c.jpg#0,a kayaker wearing yellow fights the rapids .
3050606344_af711c726c.jpg#1,A man goes through whitewater in a kayak .
3050606344_af711c726c.jpg#2,A man is riding a kayak through water .
3050606344_af711c726c.jpg#3,A man kayaks in rough water .
3050606344_af711c726c.jpg#4,A man kiyaking in rough water .
3050976633_9c25cf6fa0.jpg#0,A group of men playing against each other in a football match .
3050976633_9c25cf6fa0.jpg#1,five men playing in a soccer game
3050976633_9c25cf6fa0.jpg#2,People outside playing soccer .
3050976633_9c25cf6fa0.jpg#3,Rugby players competing in a match .
3050976633_9c25cf6fa0.jpg#4,These people are playing a soccer type game .
3051384385_c5c850c1f8.jpg#0,A boy holding a plate over his head .
3051384385_c5c850c1f8.jpg#1,A boy wearing blue is standing in the middle of a room holding a plate above his head .
3051384385_c5c850c1f8.jpg#2,a young child balancing a plate in the air on one arm .
3051384385_c5c850c1f8.jpg#3,The child wearing striped pants is holding an object .
3051384385_c5c850c1f8.jpg#4,The young boy is pretend playing with boxes .
305199420_89f6ddd778.jpg#0,Men in blue uniforms holding little girl with bandaged face and stuffed animal
305199420_89f6ddd778.jpg#1,Two first responders carrying an injured girl
305199420_89f6ddd778.jpg#2,"Two men in blue jumpsuits , one holding a bandaged girl"
305199420_89f6ddd778.jpg#3,Two men in uniform carry a small girl and her things .
305199420_89f6ddd778.jpg#4,Two pilots walk along carrying a young girl with a bandaged head .
3052038928_9f53aa2084.jpg#0,A group of five young adults lounging indoors .
3052038928_9f53aa2084.jpg#1,A man and a woman sit on a couch and look at each other while three other men stand by .
3052038928_9f53aa2084.jpg#2,A small group of people standing while two sit on the couch .
3052038928_9f53aa2084.jpg#3,There are four men and one woman .
3052038928_9f53aa2084.jpg#4,Three men are setting up a scene by measuring the lights for a couple sitting on a low couch .
3053916979_848d32261b.jpg#0,A fencing class takes place on a basketball court .
3053916979_848d32261b.jpg#1,A man in a black shirt stares at a swordsman
3053916979_848d32261b.jpg#2,A man in a black shirt wanders around amongst fencing players .
3053916979_848d32261b.jpg#3,A man is standing in a gym surrounded by men fencing .
3053916979_848d32261b.jpg#4,Many people are fencing on a basketball court .
3054200086_657d4398e8.jpg#0,A hockey player makes a shot .
3054200086_657d4398e8.jpg#1,A hockey player skates forward with the puck as an opponent watches from nearby on the ice rink .
3054200086_657d4398e8.jpg#2,A hockey player wearing black and white slides his stick along the ice .
3054200086_657d4398e8.jpg#3,An ice hockey player is shooting the puck as an opposing player watches .
3054200086_657d4398e8.jpg#4,Two men playing hockey on the ice .
3054989420_3e755ca352.jpg#0,A child walks outside as leaves fall .
3054989420_3e755ca352.jpg#1,Children are playing with leaves in the autumn .
3054989420_3e755ca352.jpg#2,Children in coats playing in fall leaves .
3054989420_3e755ca352.jpg#3,Children tossing dead leaves on lawn .
3054989420_3e755ca352.jpg#4,Two children throw dead leaves into the air around them .
3054997030_797096dd12.jpg#0,A boy in blue shorts with yellow stripes down the sides is leaping .
3054997030_797096dd12.jpg#1,A boy jumps behind a fence .
3054997030_797096dd12.jpg#2,A child jumping on the other side of a green fence .
3054997030_797096dd12.jpg#3,The boy is leaping into the air .
3054997030_797096dd12.jpg#4,young boy leaps from a platform at a fenced in playgroud
3055716848_b253324afc.jpg#0,A kid doing a trick on a skateboard .
3055716848_b253324afc.jpg#1,A man jumps off of his skateboard on the top of a cement ramp .
3055716848_b253324afc.jpg#2,a skateboarder jumps .
3055716848_b253324afc.jpg#3,Person doing a trick on a skateboard in a skate park while people watch .
3055716848_b253324afc.jpg#4,The skateboarder prepares to wipeout .
3056569684_c264c88d00.jpg#0,A damaged ambulance is being hauled on a truck bed down the road .
3056569684_c264c88d00.jpg#1,A wrecked ambulance is being towed .
3056569684_c264c88d00.jpg#2,Recked ambulance being towed by a large tow truck .
3056569684_c264c88d00.jpg#3,The ambulance on the flatbed truck was in a collision .
3056569684_c264c88d00.jpg#4,Wrecked ambulance is being towed by a large truck .
305749904_54a612fd1a.jpg#0,A man is wearing a blue shirt with the word Mambo on it .
305749904_54a612fd1a.jpg#1,"A man is wearing a shirt that reads , "" Mambo "" with an image of a baby and a teddy bear ."
305749904_54a612fd1a.jpg#2,A man wears a t-shirt showing a baby humping a stuffed bear .
305749904_54a612fd1a.jpg#3,A person wearing a blue mambo shirt has his back to the camera .
305749904_54a612fd1a.jpg#4,The man is wearing a blue shirt .
3057618932_3b80ae85de.jpg#0,A bicyclist is attempting a trick down a flight of outdoor stairs .
3057618932_3b80ae85de.jpg#1,A cyclist is attempting to go down the steps on his bike .
3057618932_3b80ae85de.jpg#2,A man is riding a bicycle down a staircase .
3057618932_3b80ae85de.jpg#3,A person riding a bicycle down a red ramp .
3057618932_3b80ae85de.jpg#4,Cyclist biking down a concrete stairway .
3057862887_135c61816a.jpg#0,A child and an adult looking at each other .
3057862887_135c61816a.jpg#1,A man and a young boy sitting down
3057862887_135c61816a.jpg#2,A woman wearing many beaded necklaces looks at a child with just one .
3057862887_135c61816a.jpg#3,A woman with man bead necklaces looks down at the girl sitting next to her .
3057862887_135c61816a.jpg#4,Tribal woman and child staring at each other in the jungle .
3060969260_08f43e4f4f.jpg#0,"One bicyclist runs alongside her bike , while another rides up behind ."
3060969260_08f43e4f4f.jpg#1,One biker is running with their bike while another is riding around them .
3060969260_08f43e4f4f.jpg#2,"The bike rider runs with his red bike while another gains on him , both wearing green outfits and black helmets ."
3060969260_08f43e4f4f.jpg#3,"Two biker in black-green , first is pushing her bike , the second is riding hers ."
3060969260_08f43e4f4f.jpg#4,"Two people with bicycles , one in front running with a bike and one in back riding ."
3061481868_d1e00b1f2e.jpg#0,two motorcyclists riding tandom on a biek down the street .
3061481868_d1e00b1f2e.jpg#1,Two people are on a black motorcycle driving very fast .
3061481868_d1e00b1f2e.jpg#2,Two people on a motorcycle .
3061481868_d1e00b1f2e.jpg#3,Two people ride together on a motorcycle
3061481868_d1e00b1f2e.jpg#4,Two people riding a motorcycle .
3062273350_fd66106f21.jpg#0,men wearing hats and coats are walking together
3062273350_fd66106f21.jpg#1,a group of old men walking down the street
3062273350_fd66106f21.jpg#2,A group of seven men walking and standing on a concrete surface .
3062273350_fd66106f21.jpg#3,A group of walking men .
3062273350_fd66106f21.jpg#4,Seven older gentlemen walking together in a group outside .
306315650_e064f5c677.jpg#0,A lady stands outside of a Mexican market .
306315650_e064f5c677.jpg#1,An Indian woman stands in an outdoor marketplace .
306315650_e064f5c677.jpg#2,A woman in Mexico does needlepoint while tending a store .
306315650_e064f5c677.jpg#3,A woman is shopping in an outdoor marketplace .
306315650_e064f5c677.jpg#4,There is an open ' Abarrotes Mexico ' store with a man standing in front of it .
306318683_5f1f875191.jpg#0,A boy carries a box across a bridge .
306318683_5f1f875191.jpg#1,A boy carrying an open box crosses a bridge over a road .
306318683_5f1f875191.jpg#2,A boy on the street holds a box .
306318683_5f1f875191.jpg#3,A young child wearing a Pokemon shirt and holding a box outside in an urban area .
306318683_5f1f875191.jpg#4,a young man wearing a red Pokemon shirt carrying a small red box
3064716525_b8418d4946.jpg#0,a black and white dog is jumping fences in a dog show .
3064716525_b8418d4946.jpg#1,A black and white dog jumping over a steeple vault at a competition
3064716525_b8418d4946.jpg#2,A black and white dog performs a jump with his owner looking on .
3064716525_b8418d4946.jpg#3,A black and white dog running through an obstacle course
3064716525_b8418d4946.jpg#4,A dog leaping over a hurdle .
3065468339_4955e90fd3.jpg#0,A black dog looks into a pool of water .
3065468339_4955e90fd3.jpg#1,A black dog sniffing the ground near a body of water .
3065468339_4955e90fd3.jpg#2,A black dog with a red collar sniffs the ground .
3065468339_4955e90fd3.jpg#3,The dog is looking at the water .
3065468339_4955e90fd3.jpg#4,This hound is searching the water for his prey .
3065560742_f6e266ccd9.jpg#0,"A boy playing hockey lies on the ice , injured ."
3065560742_f6e266ccd9.jpg#1,The two hockey players are down on the ice .
3065560742_f6e266ccd9.jpg#2,Two hockey players fall on the ice .
3065560742_f6e266ccd9.jpg#3,Two hockey players fall to the ground in a game .
3065560742_f6e266ccd9.jpg#4,Two hockey players slide into each other on the ice
3066338314_2c3fb731d1.jpg#0,A man in black is sitting in a restaurant .
3066338314_2c3fb731d1.jpg#1,A man sits at a table .
3066338314_2c3fb731d1.jpg#2,A man wearing a black shirt laughs while sitting at the table .
3066338314_2c3fb731d1.jpg#3,A smiling man leaning back from a table with an ashtray on top .
3066338314_2c3fb731d1.jpg#4,The man sitting at the table is posing for a picture .
3066429707_842e50b8f7.jpg#0,A child in a blue uniform kicks a soccer ball .
3066429707_842e50b8f7.jpg#1,A girl 's red shoe sole is shown as the soccer ball flies through the air .
3066429707_842e50b8f7.jpg#2,A young girl is kicking a soccer ball in the grass .
3066429707_842e50b8f7.jpg#3,Blond girl in blue clothes playing soccer .
3066429707_842e50b8f7.jpg#4,the girl in blue kicks the soccer ball .
3066491113_86569e15be.jpg#0,a black dog is following a brown dog that is carrying a brown plate through a grassy field .
3066491113_86569e15be.jpg#1,A black dog following a tan dog fetching a large shallow bowl .
3066491113_86569e15be.jpg#2,A brown dog carrying a Frisbee like object in its mouth
3066491113_86569e15be.jpg#3,A dog runs with a large plate in its mouth .
3066491113_86569e15be.jpg#4,"Two dogs , one carrying a large dish in its mouth ."
3067500667_0fce8f28d4.jpg#0,A cricket batsman has been bowled out middle stump .
3067500667_0fce8f28d4.jpg#1,"A cricket player swings his bat , but misses ."
3067500667_0fce8f28d4.jpg#2,A man is standing in front of some red sticks trying to hit a ball .
3067500667_0fce8f28d4.jpg#3,A man is swinging a paddle at a unique ball game .
3067500667_0fce8f28d4.jpg#4,A player hits the ball at a cricket game .
3068407619_5207b26986.jpg#0,"A man windsurfs , putting his off hand into the water ."
3068407619_5207b26986.jpg#1,A person leaning over while windsurfing .
3068407619_5207b26986.jpg#2,A shirtless man is leaning back while parasailing .
3068407619_5207b26986.jpg#3,A windsurfer skims the water with his outstretched hand .
3068407619_5207b26986.jpg#4,a young man parasailing in the ocean .
3068735836_872fba3068.jpg#0,A man does a motorcycle trick on a racetrack while many people watch .
3068735836_872fba3068.jpg#1,A man does a wheelie on a motorcycle while a crowd watches .
3068735836_872fba3068.jpg#2,A man is pulling a wheelie on a motorcycle whilst being watched by a group of people .
3068735836_872fba3068.jpg#3,A motorcycle popping a wheelie in front of a group of people .
3068735836_872fba3068.jpg#4,A motorcyclist is about to fall over .
3068945309_ff0973e859.jpg#0,A basketball player in a white uniform is making a jump shot against a team wearing black uniforms .
3068945309_ff0973e859.jpg#1,A basketball player takes a shot .
3068945309_ff0973e859.jpg#2,A man wearing a white uniform is trying to make a shot but the two men in black are trying to block him .
3068945309_ff0973e859.jpg#3,Basketball players leap for the ball while the crowd watches .
3068945309_ff0973e859.jpg#4,Basketball player in white uniform leaping to make a shot while being blocked by player in black .
3068994801_b2bc079e67.jpg#0,A girl dressed in purple and blue walks beside her bike at night .
3068994801_b2bc079e67.jpg#1,A girl in vibrant colors is walking her bike in a dark area .
3068994801_b2bc079e67.jpg#2,A woman in a purple top is walking a bicycle between two stone columns .
3068994801_b2bc079e67.jpg#3,A woman walks a bicycle between some columns .
3068994801_b2bc079e67.jpg#4,A woman with a purple top and blue pants walks her bike in the shadows .
3069282021_e05e1829f3.jpg#0,Dogs racing around a track
3069282021_e05e1829f3.jpg#1,Dogs racing in a professional dog race
3069282021_e05e1829f3.jpg#2,Dogs racing on a track
3069282021_e05e1829f3.jpg#3,Five dogs are on a track racing each other .
3069282021_e05e1829f3.jpg#4,Six dogs are competing in a race .
3069937639_364fc11e99.jpg#0,A dog runs through a field .
3069937639_364fc11e99.jpg#1,A light colored dog leaps in a field .
3069937639_364fc11e99.jpg#2,A white dog is running across a grassy field .
3069937639_364fc11e99.jpg#3,A white dog runs through a field .
3069937639_364fc11e99.jpg#4,Small dog running in the field .
3070031806_3d587c2a66.jpg#0,A dog running on the sand by the beach while his owner looks at the other dogs on the beach .
3070031806_3d587c2a66.jpg#1,A man and 4 dogs playing on the beach .
3070031806_3d587c2a66.jpg#2,A man is standing at the shoreline on the beach with 4 dogs .
3070031806_3d587c2a66.jpg#3,A man is standing in front of 4 dogs on the beach .
3070031806_3d587c2a66.jpg#4,Man watching four dogs play on the beach
3070274658_fc39fd4f84.jpg#0,men in drak outfits around a campfire
3070274658_fc39fd4f84.jpg#1,The men are sitting around a fire .
3070274658_fc39fd4f84.jpg#2,Three men are sitting around a bonfire at night with a table of drinks beside them .
3070274658_fc39fd4f84.jpg#3,Three men sitting around a fire in front of a cabin .
3070274658_fc39fd4f84.jpg#4,Three older men are sitting around a campfire at night .
3070485870_eab1a75c6f.jpg#0,A snowboarder is in the air after making a jump near some trees .
3070485870_eab1a75c6f.jpg#1,A snowboarder is jumping over a snow slope .
3070485870_eab1a75c6f.jpg#2,A snowboarder makes a jump against a wooded background .
3070485870_eab1a75c6f.jpg#3,A snowboarder performs a jump in the snow .
3070485870_eab1a75c6f.jpg#4,Snowboarder does stunt on his board in the snow .
3072782873_3278f3b3a7.jpg#0,A man and a woman are kissing in a crowded street .
3072782873_3278f3b3a7.jpg#1,A man and woman kiss in the street .
3072782873_3278f3b3a7.jpg#2,Couple kissing in the middle of a street .
3072782873_3278f3b3a7.jpg#3,Man and woman kissing on a public street .
3072782873_3278f3b3a7.jpg#4,Two people are kissing with old buildings on either side of them and people walking up in the background .
307301755_48919ef1b2.jpg#0,A black man sitting next to a tree in a rural area .
307301755_48919ef1b2.jpg#1,A man in a blue cap is sitting on a stool under a tree .
307301755_48919ef1b2.jpg#2,A man in a red shirt sitting on a plastic stool in a shaded sandy area .
307301755_48919ef1b2.jpg#3,A man sits on a blue bench and leans against a wood pole .
307301755_48919ef1b2.jpg#4,A man sitting and leaning against a pole holding a small animal .
3073579130_7c95d16a7f.jpg#0,a man wears a red bandanna
3073579130_7c95d16a7f.jpg#1,A man with a head covering .
3073579130_7c95d16a7f.jpg#2,"An man wearing an Arab scarf , with another man in the background ."
3073579130_7c95d16a7f.jpg#3,A white man in a turban .
3073579130_7c95d16a7f.jpg#4,Man with facial hair wearing red and white Palestinian style headscarf .
3074617663_2f2634081d.jpg#0,A dog digging in the sand .
3074617663_2f2634081d.jpg#1,A dog is digging a hole in the sand .
3074617663_2f2634081d.jpg#2,A dog 's paws and face are covered in sand .
3074617663_2f2634081d.jpg#3,A dog with its tongue out sits over a hole in the sand .
3074617663_2f2634081d.jpg#4,The German Shepherd is digging a large hole in the sand .
3074842262_62b1b2168c.jpg#0,A boy kicks through a pile of leaves .
3074842262_62b1b2168c.jpg#1,A boy with blue shirt kicking off dead leaves from a pile of leaves .
3074842262_62b1b2168c.jpg#2,A kid in a blue top leaps into a raked pile of leaves in front of trees .
3074842262_62b1b2168c.jpg#3,A little boy in blue is running through a pile of brown leaves .
3074842262_62b1b2168c.jpg#4,A young boy standing with a raised leg in a large pile of leaves .
3075068274_2a28a5263b.jpg#0,A boy on a skateboard is at the top of a ramp .
3075068274_2a28a5263b.jpg#1,A person in a plaid shirt riding a skateboard on a half-pipe .
3075068274_2a28a5263b.jpg#2,A skateboarder on a ramp .
3075068274_2a28a5263b.jpg#3,Person in plaid shirt make a jump on a skateboard on a ramp .
3075068274_2a28a5263b.jpg#4,The boy safely skates up the ramp before descending again .
3076052114_233f42ae5b.jpg#0,"Two black , brown and white dogs run along the countryside with white sheep in the background ."
3076052114_233f42ae5b.jpg#1,Two black dogs run in a grass field with two white sheep in the background .
3076052114_233f42ae5b.jpg#2,two dogs are walking through a sheep field .
3076052114_233f42ae5b.jpg#3,Two dogs run in a field herding sheep .
3076052114_233f42ae5b.jpg#4,Two dogs running across a green field with two white animals in the background .
3076928208_5763e9eb8c.jpg#0,A black and tan dog jumping in the air in a grassy area in front of a fence .
3076928208_5763e9eb8c.jpg#1,A dog running with something in his mouth in the grass .
3076928208_5763e9eb8c.jpg#2,Black and tan dog with all paws off ground and yellow object in mouth .
3076928208_5763e9eb8c.jpg#3,The black and brown dog is playing in the yard .
3076928208_5763e9eb8c.jpg#4,The dog by the fence is running on the grass .
3077781040_bc27778609.jpg#0,A bicycle racer runs up a ramp with his bike .
3077781040_bc27778609.jpg#1,A biker is running with his bike in his hands up a ramp .
3077781040_bc27778609.jpg#2,A man carrying a bicycle .
3077781040_bc27778609.jpg#3,a man runs with his bike .
3077781040_bc27778609.jpg#4,Man sits on bike in air .
3078229723_2aa52600de.jpg#0,an african man in blue jeans is holding the hands of two boys that are eating ice creams .
3078229723_2aa52600de.jpg#1,Man holds the hand of two children .
3078229723_2aa52600de.jpg#2,The man is holding the hands of two boys .
3078229723_2aa52600de.jpg#3,Two boys eating ice cream are holding the hands of an adult .
3078229723_2aa52600de.jpg#4,Two young boys hold a man 's hands .
3079786914_fe598b0e54.jpg#0,A young boy and girl are playing in a tunnel .
3079786914_fe598b0e54.jpg#1,Small children play inside a small yellow and blue tube .
3079786914_fe598b0e54.jpg#2,Two children sit inside a blue and yellow tunnel .
3079786914_fe598b0e54.jpg#3,two girls play in a tunnel .
3079786914_fe598b0e54.jpg#4,Two little kids playing in a colapsable fabric tunnel .
3079787482_0757e9d167.jpg#0,A little girl hugs another little girl .
3079787482_0757e9d167.jpg#1,A young child is being held by another child looking straight at us .
3079787482_0757e9d167.jpg#2,Two toddlers posing for the camera .
3079787482_0757e9d167.jpg#3,Two young children holding each other and posing .
3079787482_0757e9d167.jpg#4,Two young girls hug .
3080056515_3013830309.jpg#0,A boy is whispering to a girl wearing a red and white hat and scarf .
3080056515_3013830309.jpg#1,One person is whispering to another .
3080056515_3013830309.jpg#2,The boy is whispering in the girls ear .
3080056515_3013830309.jpg#3,The child in the red and white hat is listening to the child with the brown hair and green jacket .
3080056515_3013830309.jpg#4,Two children standing very close .
308014594_f1d5e75507.jpg#0,Two Japanese girls are wearing traditional dress .
308014594_f1d5e75507.jpg#1,Two Japanese ladies with colorful kimonos on them .
308014594_f1d5e75507.jpg#2,Two women dressed as geishas .
308014594_f1d5e75507.jpg#3,Two women dressed in brightly colored traditional asian clothes stand at the top of steps .
308014594_f1d5e75507.jpg#4,Two women in elaborate Japanese costumes .
3082934678_58534e9d2c.jpg#0,A tan dog is running on pavement with a white dog running on grass beside it .
3082934678_58534e9d2c.jpg#1,"Two dogs , one white and one brown , run alongside each other near a grassy field ."
3082934678_58534e9d2c.jpg#2,Two dogs run down the road .
3082934678_58534e9d2c.jpg#3,two tan dogs running along a concrete path together .
3082934678_58534e9d2c.jpg#4,Two yellow dogs are running side by side down a road .
308307853_5a51fbdecc.jpg#0,A dog plays on the beach .
308307853_5a51fbdecc.jpg#1,A white dog is running around a tumbleweed on a sand dune .
308307853_5a51fbdecc.jpg#2,A white dog walks across the sandy ground with a tumbleweed .
308307853_5a51fbdecc.jpg#3,A white poodle circles a sparkler embedded in sand .
308307853_5a51fbdecc.jpg#4,poodle playing on a beach
3084001782_41a848df4e.jpg#0,A man and a woman read a book while their friend has a drink .
3084001782_41a848df4e.jpg#1,A woman holds a drink while a man and a woman examine a book .
3084001782_41a848df4e.jpg#2,A woman holding a red cup with a straw in it sits in front of a man and a woman looking at a book .
3084001782_41a848df4e.jpg#3,Three people are gathered for a picture .
3084001782_41a848df4e.jpg#4,Two women and a man are looking at a book .
3084010872_cbc3ea8239.jpg#0,A bearded man and a woman in a dress holding a cup .
3084010872_cbc3ea8239.jpg#1,A man and a woman are standing next to each other and the woman has a drink in her hand .
3084010872_cbc3ea8239.jpg#2,A man and woman against a pink background smile .
3084010872_cbc3ea8239.jpg#3,A man stands beside a woman holding a red cup with a straw .
3084010872_cbc3ea8239.jpg#4,A woman and man are posing for a picture against a pink wall .
3084011664_76d37c6559.jpg#0,A man and a woman looking at the camera .
3084011664_76d37c6559.jpg#1,a man and a woman posing for a picture .
3084011664_76d37c6559.jpg#2,A man and a woman smile for the camera .
3084011664_76d37c6559.jpg#3,A man puts his arm around a girl holding a blue cup .
3084011664_76d37c6559.jpg#4,A woman holding a blue cup and a man with facial hair pose close to one another .
3084149186_4bc08b0752.jpg#0,A climber hangs from a rock face while another watches .
3084149186_4bc08b0752.jpg#1,a free climber is hanging from a rock whilst being watched by a man in a green t-shirt .
3084149186_4bc08b0752.jpg#2,A man is holding onto the underside of an outcropping while rock climbing .
3084149186_4bc08b0752.jpg#3,A young man climbs the bottom surface of a rock .
3084149186_4bc08b0752.jpg#4,The man wearing a brown shirt clings to a rock .
308487515_7852928f90.jpg#0,A bird eating .
308487515_7852928f90.jpg#1,"A small , pale bird bends down to examine a crumb ."
308487515_7852928f90.jpg#2,A small white bird looks at a small object .
308487515_7852928f90.jpg#3,A tan bird stands on a ledge about to eat something .
308487515_7852928f90.jpg#4,The bird leans over to a small piece of food .
3085357792_efcf297c71.jpg#0,A man in a blue shirt passes under the Samsung arch .
3085357792_efcf297c71.jpg#1,A man in a blue shirt runs under a blue road marker in a race .
3085357792_efcf297c71.jpg#2,A runner in a blue shirt and blue shorts participates in a race .
3085357792_efcf297c71.jpg#3,A runner jogging on a city street past a SAMSUNG advertisement banner .
3085357792_efcf297c71.jpg#4,Man running down a street in a marathon .
3085667767_66041b202e.jpg#0,A surfer does a flip on a wave .
3085667767_66041b202e.jpg#1,A surfer is 90 degrees to the water
3085667767_66041b202e.jpg#2,A surfer is flipping up in the air on a surfboard .
3085667767_66041b202e.jpg#3,a surfer jumps out of the water .
3085667767_66041b202e.jpg#4,The surfer does a flip off of a wave .
3085667865_fa001816be.jpg#0,a lone surfboarder jumping a wave on a white surfboard .
3085667865_fa001816be.jpg#1,A man flies into the air with his surfboard .
3085667865_fa001816be.jpg#2,A person in a wetsuit is in midair while surfing .
3085667865_fa001816be.jpg#3,A surfer is in the air above the ocean .
3085667865_fa001816be.jpg#4,A surfer performs a trick .
3086507638_d8a2cd0ac3.jpg#0,The dogs are running in the water .
3086507638_d8a2cd0ac3.jpg#1,Three dogs are running through the water .
3086507638_d8a2cd0ac3.jpg#2,Three dogs running in the water .
3086507638_d8a2cd0ac3.jpg#3,Three dogs run through shallow water .
3086507638_d8a2cd0ac3.jpg#4,"Three dogs , two brown and one black , run in the surf ."
3086526292_f799d237c7.jpg#0,There are three people in jeans and shirts standing outside with spray cans .
3086526292_f799d237c7.jpg#1,Three children 's legs are shown as they stand near a mess of silly string .
3086526292_f799d237c7.jpg#2,Three kids play with silly string .
3086526292_f799d237c7.jpg#3,"Three people standing near a door , with silly string cans ."
3086526292_f799d237c7.jpg#4,You can see the bottom halves of three boys standing on a sidewalk with silly string sprayed everywhere
3088074124_481139dc92.jpg#0,a group of Indian people talking to each other
