English,Telugu
[ FAX MACHINE BEEPS ],[ఫ్యాక్స్ మెషిన్ beeps]
35.,35.
No. We're seniors.,మేము పెద్దవారు నం.
"- Good, you can ask the cashier about it.","- గుడ్, మీరు దాని గురించి క్యాషియర్ అడగవచ్చు."
Safe?,సురక్షిత?
Finally got yourself a job.,చివరిగా మీ ఉద్యోగం వచ్చింది.
Find out in our full report right after the break.,కుడివిరామంతర్వాతమాపూర్తినివేదిక లో కనుగొనండి
"Now, get in here and enjoy yourselves.","ఇప్పుడు, ఇక్కడ లో పొందుటకు మరియు yourselves ఆనందించండి."
"No, it's just a machine.","సంఖ్య, అది కేవలం ఒక యంత్రం."
Does Brenda get a vote?,బ్రెండా ఒక ఓటు పొందుటకు లేదు?
Why would I meet her by my mailbox at 11:00?,నేను 11: 00 వద్ద నా మెయిల్ బాక్స్ ద్వారా ఆమె తీరుస్తుందని?
"Mama, not everybody's a demon.","మామా, ప్రతి ఒక్కరూ ఒక భూతం యొక్క."
I do love a road trip.,నేను రహదారి యాత్ర ప్రేమ.
Do you want to remember...or. ..,మీరు గుర్తుంచుకోవాలి మీరు అనుకుంటున్నారా... లేదా. ..
This is the first time it's ever been mentioned to me.,ఇది యొక్క నాకెప్పుడూ పేర్కొంటున్నారు మొదటి సారి.
He was a favourite with all the young wolf cubs of the pack.,అతనుప్యాక్అన్ని యువ తోడేలు పిల్లలు అభిమానం ఉంది.
What you do is not magic.,మీరు ఏమి మేజిక్ కాదు.
"Hey, hey, heV-","హే, హే, HEV-"
2O million pounds.,2O మిలియన్ పౌండ్ల.
"Hey, you never mentioned her before.","హే, మీరు ఎప్పుడూ ఆమె ముందు పేర్కొన్నారు."
( crunches ),(క్రంచెస్)
Smart man.,స్మార్ట్ మనిషి.
- Baloo.,- Baloo.
It's really not that deep.,ఇది నిజంగా లోతైన కాదు.
- Baloo!,- Baloo!
"Yes, sir, I'm very sure.","అవును, సర్, నేను చాలా ఖచ్చితంగా వద్ద."
I will do no such thing and neither will you.,నేను అనేందుకు చేస్తాను కానీ మీరు అవుతుంది.
I love you.,నేను నిన్ను ప్రేమిస్తున్నాను.
"I got you this, but...","నేను మీరు ఈ వచ్చింది, కానీ..."
"If you don't believe what you're doing, how are they gonna believe?","మీరు మీరు ఏమి నమ్మకం లేదు ఉంటే, ఎలా నమ్ముతారు గొన్న ఉంటాయి?"
An opening bid.,ఒక బిడ్ తెరిచింది.
Almost there.,దాదాపు అయిపోయినట్లే.
SOMEBODY WHO MIGHT HAVE YOUR NUMBER?,మీ NUMBER ఉండవచ్చు WHO ఎవరైనా?
"- No, I grew up on a farm. - Oh, me too.","- సంఖ్య, l ఒక వ్యవసాయ క్షేత్రంలో పెరిగాడు."
"Why, I-I shouldn't have left him alone.",నేను అతనికి ఎడమ ఉండకూడదు.
I can pay you as soon as I can--,నేను వెంటనే నేను మీరు చెల్లించవచ్చు -
"Mowgli, try to understand.","మోగ్లీ, అర్ధం చేసుకొనే ప్రయత్నం."
"A NICE TOUR,","ఒక nice టూర్,"
I'll take it.,నేను పడుతుంది.
- I can't do it.,- నేను చెయ్యలేరని.
"Allan Greenspan, head of the Federal Reserve leaves to become a consultant...","అలెన్ గ్రీన్స్పాన్, తల యొక్క ఫెడరల్ రిజర్వ్ ఒక కన్సల్టెంట్ మారింది వెళ్లిపోతాడు..."
I'll give you what you need for your revenge.,నేను మీరు మీ ప్రతీకారంతో అవసరం ఏమి మీరు ఇస్తుంది.
OH SHIT!,OHషిట్
You will take one squad and cover the right flank.,మీరు ఒక జట్టు పడుతుంది మరియు కుడి భుజంగా కవర్ చేస్తుంది.
OH SHIT.,OH షిట్.
I have only one desire.,నేను మాత్రమే ఒక కోరిక కలిగి.
"She was approached by Don Mancini, , but now she works for us.","ఆమె డాన్ మాన్సినీ వద్దకు, కానీ ఇప్పుడు ఆమె మాకు పనిచేస్తుంది జరిగినది."
I'm not sure.,నాకు ఖచ్చితంగా తెలియదు.
How long can the average man hold his breath?,ఎంతకాలం సగటు మనిషి తన శ్వాసను నొక్కి చేయవచ్చు?
You're super smart.,మీరు సూపర్ స్మార్ట్ ఉంటాయి.
"You got a gift, use it before it passes by.","అది వెళ్ళే ముందు మీరు బహుమతిగా వచ్చింది, దాన్ని ఉపయోగించండి."
What about you?,మీరు గురించి?
"I love you, too.","నేను చాలా, మీరు ప్రేమ."
"Yeah, snitching son of a bitch is walking around Reggie's neighborhood... with a shit-eating grin on his face.","అవును, ఒక ఆడ కుక్క యొక్క కుమారుడు snitching రెగ్గీ యొక్క చుట్టుప్రక్కల వాకింగ్ ఉంది... తన ముఖం మీద ఒక ఒంటి తినే నవ్వు తో."
Have you ever watched television?,మీరు ఎప్పుడైనా టెలివిజన్ చూశారు?
He wanted to hook up the nation's nuclear arsenal to the Clapper.,అతను జంటగా కోరుకున్నాడు దేశం యొక్క అణు శాలకు గంటకు
How interesting.,ఎలా ఆసక్తికరమైన.
Evacuate immediately.,వెంటనే ఖాళీ.
"- Hey, smart guy!","స్మార్ట్ వ్యక్తి, -హే!"
"Come on, kid.",", పిల్లవాడిని న కమ్."
The sound it's makin'?,అది మేకింగ్ ధ్వని...
"And the next time you want to drown somebody, just invite me.","మరియు మీరు ఎవరైనా మునుగు అనుకుంటున్నారా తదుపరి సమయం , నాకు ఆహ్వానించండి."
- Eight-Ball.,- ఎనిమిది బాల్.
Why do we have to turn around?,ఎందుకు మేము పుంజుకోవడానికి చేయాలి?
Charged an hour on his MasterCard.,తన మాస్టర్ ఒక గంట చార్జ్.
You see how beautiful she is?,మీరు ఆమె ఎలా అందమైన చూడండి?
Is this Mr. O'Keefe?,ఈ మిస్టర్ కీఫే ఈజ్?
She is no madam.,ఆమె madam ఉంది.
Another man.,మరొకవ్యక్తి
No man cub was ever happier.,సంఖ్యమనిషిపిల్లఎప్పుడూసంతోషముగాఉంది
This is our common room where you'll be doing the majority of your shit.,మీరు మీ ఒంటి మెజారిటీ చేస్తూ ఇక్కడ మా సాధారణ గది ఉంది.
"You know, the beach?","మీరు తెలుసు, బీచ్?"
"Konnichiwa, güten tag, kia ora, g'day.","Konnichiwa, güten ట్యాగ్ కియా వార, g'day."
"Once foul play is suspected,","ఒకసారి ఫౌల్ నాటకం అనుమానం,"
Let's make that phone call.,యొక్క ఆ ఫోన్ కాల్ లెట్.
Let's all rise.,లెట్ అన్ని పెరుగుదల యొక్క.
- YOU'VE FUCKED IT!,- మీరు ఇబ్బంది పెట్టాడు చేసిన!
- [ GUNSHOT ] - [ GROANS ],'[ తుపాకీ] - [groans]
Forget about your worries and your strife,మీఆందోళనలతోపాటు మరియు మీ కలహాలు గురించి మర్చిపో
Just call them.,వాటిని కాల్.
I said what I said.,నేను మాట్లాడుతూ అన్నారు.
"So you like beer, boy?","మీరు బీర్, లైక్ ఏ బాయ్ సో?"
"Hold on, Burt!",", బర్ట్ పట్టుకో!"
Vika...,Vika...
"Get down on the ﬂoor, huh?","నేలపై డౌన్ పొందండి, హుహ్?"
"It's around my neck, I copied Greely's whole life.","ఇది నా మెడ చుట్టూ, నేను Greely యొక్క మొత్తం జీవితం కాపీ."
-50-50?,-50-50?
I'm looking forward to watching it when I get back.,నేను తిరిగి వచ్చినప్పుడు అది చూడటం ఎదురు చూస్తున్నానని చేస్తున్నాను.
Did I dress myself?,నేను వేషం తెలుసా?
You have such a nice smile.,మీరు ఒక nice స్మైల్ కలిగి.
So here's the deal.,ఇక్కడ ఒప్పందం వార్తలు.
( groaning ),() groaning
"Safe to remember, all that.","సేఫ్ గుర్తుంచుకోవాలి, అన్ని ఆ."
I'm ordering you to pull out and return to the tower immediately.,నేను ఉపసంహరించుకునేలా మరియు వెంటనే టవర్ కు తిరిగి మీరు క్రమం చేస్తున్నాను.
"Oh, man, this is really livin'.",మాన్. ఈ నిజంగా లివిన్ 'ఉంది.
- EQUALS?,- సమానం?
[ MAN SIGHS ],[మాన్ విచార నిట్టూర్పుని]
"Well, your friends are gone and I think they would appreciate it.","బాగా, మీ స్నేహితులు పోయింది మరియు నేను వారు అభినందిస్తున్నాము అనుకుంటున్నాను ఉంటాయి."
Don't you touch me!,మీరు నన్ను తాకే లేదు!
I like the view from up here.,నేను ఇక్కడ నుండి వీక్షణ ఇష్టం.
- False alarm.,- ఫాల్స్ అలారం.
"That's what he meant, that's what he was thinking about.","అతను అర్థం ఏమిటి అంటే, అతను గురించి ఆలోచిస్తూ జరిగినది ఏమి వార్తలు."
Don't move!,తరలించడానికి లేదు!
Don't move.,తరలించడానికి లేదు.
You can.,మీరు.
We heard.,మేము విన్న.
Enough for a battle.,ఒక యుద్ధం కోసం కావలసినంత.
History will stand in judgment.,చరిత్ర తీర్పు లో నిలబడటానికి.
You gon' leave me?,మీరు గోన్ 'నాకు వదిలి?
♪ and I saw her standing there ♪,♪నేనుహర్స్టాండింగ్దేర్ ఒక'
- - Fuck!,- ఫక్!
"Now we drink, Miche.","ఇప్పుడు మేము, Miche త్రాగడానికి."
Job well done.,Job మంచి.
We're on our own.,మేము మా సొంత ఉన్నాయి.
"Yo, I ain't even from this planet.","యో, నేను ఈ గ్రహం నుండి కూడా కాదు."
Mr. O'Keefe will meet us there.,మిస్టర్ కీఫే అక్కడ మాకు తీర్చగలవా.
"I want to return to the monastery where my friend, the priest is.","నా స్నేహితుడు, పూజారి ఉన్న ఆశ్రమంలో తిరిగి అనుకుంటున్నారా."
"- Huh! - Different, entirely.","వివిధ, పూర్తిగా."
"Oh, Jacobs, hold on.","ఓహ్, జాకబ్స్, పట్టు."
There's gonna be some large lawsuits.,కొన్ని పెద్ద వ్యాజ్యాలు జరగవలసినవే ఉంది.
We're safe.,మేము సురక్షితంగా ఉంటాయి.
What do you expect from me?,మీరు నా నుండి ఏమి ఆశిస్తారో లేదు?
No go.,వెళ్ళి సంఖ్య.
"We gotta get him his Yorbetal, Ma.","మేము అతనికి తన Yorbetal, మా పొందుటకు చూడాలి."
"Really, they'll get him soon enough.","రియల్లీ, వారు అంత త్వరగా అతనిని పొందుతారు."
Do not talk.,- మాట్లాడటానికి లేదు.
- CALL IT.,- కాల్.
Mr. Lee.,మిస్టర్ లీ.
"YOU WANT ME TO CALL YOU ""OI""?","యూ మీరు ""Oi"" కాల్ అనుకుంటున్నారా?"
You didn't kill him.,మీరు అతన్ని చంపడానికి లేదు.
DETAILS.,DETAILS.
I don't fucking believe you!,నేను మీరు నమ్మకం నాశనం లేదు!
"Took a little longer than I thought, but it's happened.",", నేను అనుకున్నదాని కంటే కొద్దిగా ఎక్కువ టుక్ కానీ జరిగింది ఉంది."
Are they alive?,వారు జీవించి ఉన్నారు?
"Well, maybe so, but I'm not afraid.","బాగా, బహుశా అలా, కానీ నేను భయపడ్డారు కాదు."
"The hell you doing, boy?","నరకం మీరు చేస్తున్న, బాలుడు?"
I'll be back in a minute.,నేను ఒక నిమిషం లో తిరిగి ఉంటుంది.
(MEN GRUNTING),(GRUNTING MEN)
(CRYING) Just stay away from me.,(క్రయింగ్) జస్ట్ నాకు దూరంగా ఉండాలని.
Boring!,ఇక్కడ ఎలా ALL
- Go!,- గో! గో!
"Not high school seniors, college seniors.","లేదు ఉన్నత విద్యా, కళాశాల సీనియర్లు."
"Yeah, obviously, you don't!","అవును, ఖచ్చితంగా, మీరు!"
This was Louis' knife.,ఈ లూయిస్ 'కత్తి.
"I'm sorry, I'm sorry, I'm sorry.","నేను క్షమించండి, నేను క్షమించండి, నేను విచారిస్తున్నాను పోస్ట్."
[ GUN CLICKS ],[తుపాకీ క్లిక్]
- How old are you?,- ఎలా పాత మీరు?
We're gonna be fine.,మేము జరిమానా గొన్న ఉంటాయి.
He's a world-famous magician.,అతను ఒక ప్రపంచ ప్రసిద్ధ మాంత్రికుడు.
"Ssh, ssh.","SSH, ssh."
That you remember?,మీరు గుర్తుంచుకోవాలి ఆ?
GOOD.,GOOD.
-Hold it!,ఆగాగు!
All in.,అన్ని సైన్
Resentment.,ఆగ్రహం.
Another day in paradise.,స్వర్గం లో మరొక రోజు
You're not gonna be around.,మీరు చుట్టూ జరగవలసినవే కాదు.
"OH, YOU DIRTY BASTARD.","= = OH, మీరు డర్టీబాస్టర్డ్."
Here you go.,ఇక్కడ మీరు వెళ్ళండి.
Something I never shared with anyone.,నేను ఎవరితోనూ భాగస్వామ్యం ఎప్పుడూ ఏదో.
It's bad.,ఇది చెడు.
In English.,ఇంగ్లీష్ లో.
"Most times, they didn't even notice that Sarah was watching them.","చాలాసార్లు,వారు గమనించవచ్చు కూడా లేదు సారా వాటిని చూడటం అని"
He will move mountains or die trying.,అతను పర్వతాలు తరలించబడుతుంది లేదా ప్రయత్నించండి మరణిస్తారు.
"I know what you're tryin' to do, Kaa--","ఐ, కా చేయాలని ప్రయత్నిస్తున్న ఏమి."
Rock solid.,రాక్ ఘన.
Hangin' with them dope boyz Hangin' with them dope boyz,వారితో' డోప్బాయ్జ్ Hangin వారితో' Hangin డోప్ బాయ్జ్
This doesn't concern you.,మీరు ఆందోళన లేదు.
"- No, you weren't.","- సంఖ్య, మీరు కాదు."
He found a survivor at the crash site.,అతను క్రాష్ సైట్ వద్ద ఒక ప్రాణాలతో దొరకలేదు.
Prime Minister Lee.,ప్రధాన మంత్రి లీ.
"- No, I got nothing.",- నేను ఏమీ వచ్చింది.
- There's less friction underwater.,- ఘర్షణ నీటి అడుగున తక్కువ ఉంది.
I believe you can do it.,నేను మీరు దీన్ని నమ్మకం.
I want you to destroy it.,నేను మీరు దానిని నాశనం చేయడానికి కావలసిన.
-No.,- నం
You don't stop looking at him.,మీరు అతనిని చూడటం మానివేయవచ్చు లేదు.
In there.,అక్కడ లో .
How do we know we can trust the information?,ఎలా మేము సమాచారం విశ్వసిస్తే తెలుసు?
( gas hissing ),(వాయువుhissing)
In there!,అక్కడ LN!
"I still smell, right?","కుడి l ఇప్పటికీ వాసన,?"
NARRATOR:,కథకుడు:
In there?,అక్కడ?
Let the rhythm move you,[స్పీకర్లుఆన్] లయ తరలించడానికి లెట్ మీరు
"No, come on.","సంఖ్య, న వస్తాయి."
Already told who?,ఇప్పటికే ఎవరు చెప్పారు?
Hit that baby!,ఆ శిశువు హిట్!
"When you say it out loud, it doesn't sound so bad.","మీరు బిగ్గరగా దాన్ని చెప్పినప్పుడు, అది చెడు శబ్దము లేదు."
Can you make sure he gets some morphine?,మీరు అతను కొన్ని మార్ఫిన్ గెట్స్ ఖచ్చితంగా చేయవచ్చు?
"So when it happens, as one day it must it is imperative not to panic.","కాబట్టిఒకరోజుఅది జరిగినప్పుడు, అది తప్పక... ... ఇది అత్యవసరం యిబ్బంది లేదు."
Uh... (EXHALES),ఉహ్... (EXHALES)
You just need to remember to keep your seatbelt on.,మీరు కేవలం మీ seatbelt ఉంచాలని గుర్తుంచుకోవాల్సిన అవసరం.
"Flint, get your ass back to the team.","ఫ్లింట్,తిరిగిమీగాడిద పొందుటకు జట్టు"
I dream of this room.,ఈ గది యొక్క నేను కల.
He's just a guy.,అతను కేవలం ఒక వ్యక్తి.
"I have a small errand to attend to, and then...","L కు హాజరు ఒక చిన్న చిన్న కలిగి, ఆపై..."
"No. No, it ain't serious.","తోబుట్టువుల సంఖ్య నం, అది తీవ్రమైన కాదు."
Told her yet?,ఇంకా ఆమె చెప్పిన?
What are you--?,మీరు ఏమిటి -?
[ RIFFLES BILLS ],[Riffles బిల్లులు]
- So I'll teach ya.,నేను మీరు నేర్పుతుంది.
To The Space Bar.,స్పేస్ బార్.
I think Louis Blanchard's murder ties into all this.,నేనుఅన్నిఈలోకిలూయిస్బ్లాంచర్డ్యొక్కహత్య సంబంధాలు / . i
I'm tasking the drones to defensive positions.,నేనురక్షణస్థానాలనుడ్రోన్లు టాస్కింగ్ am
(DOOR OPENING),(తలుపు తెరిచే)
You're on your own.,మీరు మీ సొంత ఉన్నాయి.
If it is about life and death?,జీవితం మరియు మరణం గురించి ఉంటే?
How are you?,ఎలా ఉన్నావు?
"Well, he never said.","సరే, అతను చెప్పాడు."
And I don't want to work with you.,నేను మీరు పని లేదు.
"Look, this isn't a sting.","లుక్, ఈ ఒక స్టింగ్ కాదు."
(ELEVATOR onus-s) (GROANS),(ELEVATOR జవాబుదారి-s) (GROANS)
What time is Minister Lee due to arrive?,మంత్రి లీ వచ్చే ఏం సమయం?
"If you act like that bee acts... uh-uh, you're workin' too hard.",ఆ తేనెటీగ వంటి పని ఉంటే... మీరు 'చాలా హార్డ్ పనిచేస్తున్నట్లు ఉంటాయి.
I can't be there.,నేను అక్కడ ఉండకూడదు.
For personal protection?,వ్యక్తిగత రక్షణ కోసం?
(ALARM WHOOPING),(అలారం కోరింత)
That's when all the scum come.,అన్ని ఒట్టు వచ్చినప్పుడు అంటే.
- Experience.,- ఎక్స్పీరియన్స్.
I'll sell you both for a hunsky.,నేను ఒక hunsky కోసం మీరు రెండు అమ్ముతుంది.
BOB:,బాబ్:
"I learned to sew from my dad, who was a tailor.","నేను దర్జీ అయిన నా తండ్రి, నుండి సూది దారం ఉపయోగించు నేర్చుకున్నాడు."
- Experience:,- ఎక్స్పీరియన్స్:
Remove the containment lid!,నిరోధక మూత తొలగించు!
"And yet, I knew that someday... he would have to go back to his own kind.","మరియుఇంకా,నేనుతెలుసుఅనిఏదోఒక రోజు అతనుతిరిగివెళ్ళడానికికలిగిఉంటుంది తన సొంత రకమైన."
How about that?,ఎలాగురించి
"Why, if it ain't a clown.","ఎందుకు, అది ఒక విదూషకుడు కాదు ఉంటే."
How about that.,ఎలా గురించి.
You have no fucking idea!,సందర్సకులలో ఫకింగ్ ఆలోచన!
Five yards we'll roll you.,- ఐదు గజాలు మీరు వస్తాము.
He's lost the will to live,అతనుకోల్పోతేజీవించాలనే
- Mr. Gigglesworth?,- మిస్టర్ Gigglesworth?
(BREATHING HEAVILY),(ఎక్కువగా శ్వాస)
Nancy Arbuckle...,నాన్సీ అర్బుకుల్...
You ready for this?,ఈ కోసం మీరు సిద్ధంగా?
I don't even get that.,నేను కూడా ఆ పొందలేము.
"Yeah, that's for sure.","అవును, ఖచ్చితంగా ఉంది."
"She owed him a ton of money, and for some reason, he thinks I'm the one who has to pay him back.","ఆమె అతనికి డబ్బు, ఒక టన్ను ఇవ్వాల్సిన, మరియు కొన్ని కారణం, అతను నేను అతనిని తిరిగి చెల్లించే ఉన్నవాడు am భావిస్తున్నారు."
I look at it.,నేను చూడండి.
♪ Gotta spread the money blues ♪,నేను బ్లూస్ ఉంచాలి డబ్బు ♪ ♪
If you do not comply.,మీరు లోబడి లేదు ఉంటే.
"You have just made a serious mistake, my friend.","మీరు నా స్నేహితుడు ఒక తీవ్రమైన తప్పు, చేసిన,"
Coverage cap?,కవరేజ్ టోపీ?
- HEY!,- హే!
How to win friends.,స్నేహితులు గెలుచుకున్న ఎలా.
You run there?,మీరు అక్కడ అమలు?
God damn it.,దేవుడు డామన్.
God damn it!,దేవుడు డామన్!
- I didn't see you.,- నేను మీరు చూడలేదు.
How much for this to go away?,దూరంగా ఎంత కోసం వెళ్ళడానికి?
"Hey, babe.","హే, పసికందు."
- Hash-tag,- హాష్ ట్యాగ్.
- Let me find my pitch.,- నా పిచ్ కనుగొనేందుకు లెట్.
"Well, it was fun while it lasted, Sorbonne.","ఇది కొనసాగింది, అయితే సరే, Sorbonne, ఫన్ ఉంది."
What happens in Vegas stays in Vegas.,[LOW వాయిస్లో] వెగాస్ వేగాస్ లో ఉంటాయి లో ఏం జరుగుతుంది.
"Excuse me, why are you here?","ఎక్స్క్యూజ్, ఎందుకు మీరు ఇక్కడ ఉన్నారు?"
Babe. How's your day been?,నేను సైన్ తనిఖీ చేశారు.
"Yeah, well, you enjoying your vacation?","అవును, బాగా, మీరు మీ సెలవు ఆనందించే?"
"""It's easier for a camel to enter into the eye of a needle","""ఇది ఒక ఒంటె కోసం ఒక సూది కంటి నమోదు సులభం"
Why you so disrespectful to me?,ఎందుకు నాకు మీరు చూపు?
I'll find you a hotel.,నేను మీరు ఒక హోటల్ కనుగొంటారు.
Are you being serious?,మీరు తీవ్రమైన చేస్తున్నారు?
ROADBLOCK: Level 2 secure.,"ఫాంట్ రంగు = "" # 808080 "" రోడ్బ్లాక్:"
So where has she gone?,సో ఆమె పేరు పోయిందో?
Mr. Wells...,మిస్టర్ వెల్స్...
Your ship came down.,మీ ఓడ వచ్చాడు.
"Basically, he burps, sneezes and farts at the same time.","సాధారణంగా, అతను burps, అదే సమయంలో మరియు farts తుమ్ము."
Leave something to me.,నాకు ఏదో వదిలి.
Easy money.,సులువు డబ్బు.
It's a set of coordinates.,ఇది ఆర్డినేట్ సమితి.
-What?,- ఏం?
"It's better for the animals, better for the farmers, better for the consumer.","LT యొక్క మంచి జంతువులు కోసం, రైతులకు మెరుగైన , వినియోగదారు కోసం మంచి."
Apparently it's worth a few dollars.,స్పష్టంగా కొన్ని డాలర్లు విలువ.
I love him like he was my own cub.,అతను నా సొంత పిల్ల లాగానే నేను అతనిని ప్రేమిస్తున్నాను.
- Forget about your worries and your strife,మీఆందోళనలతోపాటు మరియు మీ కలహాలు గురించి మర్చిపో
You're late.,మీరు ఆలస్యంగా.
I know it.,నేను తెలుసు.
That's all you missed?,మీరు తప్పిన కాల్ ఆ?
I handle drone maintenance.,నేనుడ్రోన్నిర్వహణనిర్వహించడానికి
"Look, she's nice to me.","లుక్, ఆమె నాకు nice ఉంది."
This is a big country.,ఈ ఒక పెద్ద దేశం.
Let's get outta here.,ఇక్కడ ఔట్ట పొందుటకు లెట్.
He was teething.,అతను పళ్ళ జరిగినది.
He says all the things that Brad doesn't.,అతను బ్రాడ్ చేయని అన్ని విషయాలు చెప్పారు.
Where's my daughter?,నా కుమార్తె ఎక్కడ ఉంది?
"Well, come on, Baggy, buddy.","బాగా, స్నేహితుని, బగ్గీ, న వస్తాయి."
I just got back from mama's.,నేను మామా యొక్క నుండి తిరిగి వచ్చింది .
"- Babe, you see that?","- బేబ్, మీరు చూడండి?"
This is bound to be a night you will never forget.,మీరు మర్చిపోతే ఎప్పటికీ ఒక రాత్రి ఒక మంచే జరుగుతుంది.
I was thinking about what you said earlier.,నేను మీరు ముందు మాట్లాడుతూ గురించి ఆలోచిస్తూ జరిగినది.
I can't eat.,నేను తినడానికి కాదు.
At last you have suppressed the memory of me.,చివరకుమీరు నా మెమరీ అణచివేశారు చేశారు
Do you know what we all need?,మీరు మేము అన్ని అవసరమైన తెలుసా?
Here! Take her!,"ఇక్కడ, ఆమె తీసుకోవాలని."
"Hey, Simon.","హే,సైమన్."
Stay down and sit back.,డౌన్ ఉండండి మరియు తిరిగి కూర్చుని.
"""For the ashes of his fathers","తనతండ్రిఅస్థికలుకోసం """
(BELL RINGING),(గంటను వాయించటం)
Malcolm Beech.,మాల్కం BEECH.
"From now on, you're on your own alone!","ఇప్పుడు వరకు, మీరు మీ స్వంత ఉన్నాయి... అలోన్!"
"Yes, you see, I have trouble with my sinuses.","అవును, మీరు చూడండి, నా ఎముక రంధ్రాల తో సమస్య."
"Hi, Johnny.","ఎక్కువ, జానీ."
I'm especially leaving.,ఎల్ m ముఖ్యంగా వదిలి.
I listen and listen and listen.,నేను వినడానికి మరియు వినండి మరియు వినండి.
"Here you go, young man.","ఇక్కడమీరు,యువకుడువెళ్ళి"
Try not to scratch her up.,ఆమె అప్ గీతలు లేదు ప్రయత్నించండి.
WHEN MAN DOES SOMETHING BAD,MAN BAD ఏదో చేస్తుంది
Beers on ice.,మంచు మీద బీర్స్.
Who'll be there?,అక్కడఎవరుఉంటాం
Have a great day.,ఒక గొప్ప రోజు.
She's got...,ఆమె లేనని...
"Too slow, old man.","చాలా నెమ్మదిగా, పాత మనిషి."
"Uh, do-don't mention it, Your Highness.","మీ హైనెస్, అది చెప్పకుండా."
You have until dawn.,మీరు ప్రాతఃకాలం వరకు కలిగి .
Hoe-aw!,Hoo-ఆహ్!
"- Monkey boy, monkey boy.","- మంకీ బాయ్, మంకీ బాయ్."
"Well, they're looking for him.","బాగా, వారు అతనిని కోసం చూస్తున్నాయి."
Why are they after you?,ఎందుకు వారు మీరు తర్వాత ఉన్నాయి?
CAN'T WE JUST TIE HER UP SOMEWHERE?,మేము ఎక్కడా ఆమె టై కాదు?
"Okay, Mama.","సరే, మామా."
(ELEVATOR DINGS),(ELEVATOR డింగ్లు)
- OH YEAH.,- అవును.
( rock music playing ),(రాక్సంగీతఆట )
- OH YEAH?,- అవును?
"""dear Lord, don't let me die tonight.","జే-Z యొక్క అమరత్వం చెప్పాలంటే ""ప్రియమైన లార్డ్, నాకు రాత్రి మరణిస్తారు వీలు లేదు. """
This country is at war.,ఈ దేశం యుద్ధంలో.
Didn't I?,... నేను చేయలేదు?
Where'd you learn how to sew?,మీరు సూది దారం ఉపయోగించు ఎలా తెలుసుకోవడానికి Where'd?
What did you spend it on?,మీరుఏంగడిపారు?
Do you think I'm here to make jokes?,మీరు నేను జోకులు చేయడానికి ఇక్కడ am అనుకుంటున్నారా?
I don't take no for an answer.,నేనుఒకసమాధానంకోసంసంఖ్యపడుతుందిలేదు.
I'm Alexa.,నేను అలెక్సా am.
- Sounds good.,- మంచిదనిపించింది.
"Then one night, the wolf pack elders met at Council Rock because Shere Khan, the tiger, had returned to their part of the jungle.","అప్పుడుఒకరాత్రి,తోడేలుసమూహము పెద్దల కౌన్సిల్ రాక్ కలుసుకున్నారు ఎందుకంటేషేర్ఖాన్,పులి, వారిభాగంగాతిరిగిఅడవియొక్క"
- THAT'S ALL IT TOOK.,- అది పట్టింది ALL యొక్క
Got your ears open?,మీచెవులుఓపెన్గాట్
"If he's here tonight, he'll probably be here tomorrow night.","అతను రాత్రి ఇక్కడ ఉంటే, అతను చేస్తాము బహుశా ఇక్కడ రేపు రాత్రి ఉంటుంది."
♪ YOU SAY YOU WANNA GO AND THE ONE WHO TOLD YOU ♪,♪మీరుసే వన్నాGO మరియుమీరుచెప్పారుWHO ONE ♪
MALE AUTOMATED VOICE:,MALE స్వయంచాలక వాయిస్:
"Go there now, and stay there and wait for me.","ఇప్పుడు అక్కడ వెళ్ళండి, మరియు అక్కడ ఉండడానికి మరియు నాకు వేచి."
"Why, baby?","ఎందుకు,శిశువు?"
- I don't care.,- నేను పట్టించుకోను.
I am not the kind of man who sleeps with a married woman. No,నేను ఒక వివాహిత స్త్రీతో పడుకుంటాడు వ్యక్తి రకం కాదు.
There was a couple of rangers who hadn't forgot about me.,నా గురించి మర్చిపోతే లేదు చేసిన రేంజర్స్ ఒక జంట ఉంది.
Don't let him do it.,అతనికి అది వీలు లేదు.
WOMAN:,మహిళ:
He needed me.,. నాకు అవసరం
( whirring ),(whirring)
"I don't give a shit about your badge, man.","నేను మీ బ్యాడ్జ్, మనిషి గురించి ఒక చెత్త ఇవ్వాలని లేదు."
"A, stay with us.",ఒక మాతో ఉండడానికి.
My mama ran a whorehouse.,నా మామా ఒక వోర్హౌస్ ఇన్ అమలు.
"- Baby, are you all right?","- బేబీ, మీరు అన్ని కుడి ఉన్నాయి?"
"Flint, let's go.","ఫ్లింట్, లెట్స్ గో."
"Yeah, it was quiet.","అవును, అది నిశ్శబ్దంగా ఉంది."
Don't tell the wife.,భార్యకు లేదు.
This is about safety for my life and for yours.,ఈ నా జీవితంలో మరియు మీదే భద్రతా గురించి.
Am I going to jail?,నేను జైలు చచ్చేది?
"George, you 0l' S.O.B.","జార్జ్, మీరు 0l 'S.O.B."
Who knows?,ఎవరు తెలుసు?
"""Freeze, motherfuckers!","""ఫ్రీజ్ motherfuckers!"
"He asked me to speak to you, if he could join the family.","అతను కుటుంబం చేరడానికి అని, మీరు మాట్లాడటం అడిగాడు."
More problems?,మరింతసమస్యలు
"Now, I've heard of cloning sheep.","ఇప్పుడు, నేను క్లోనింగ్ గొర్రె విన్నాను."
